year,month_name,value
2016,May,19432
2016,June,21875
2016,July,24110
2016,August,31049
2016,September,41477
2016,October,27398
2016,November,40449
2016,December,27832
2017,January,32785
2017,February,31113
2017,March,29369
2017,April,30879
2017,May,34244
2017,June,43578
2017,July,65807
2017,August,47712
2017,September,47377
2017,October,47439
2017,November,57702
2017,December,48421
2018,January,58580
2018,February,65679
2018,March,62694
2018,April,62351
2018,May,56563
2018,June,70117
2018,July,63591
2018,August,62832
2018,September,65942
2018,October,111378
2018,November,78688
2018,December,80047
2019,January,102057
2019,February,105968
2019,March,91214
2019,April,89368
2019,May,91440
2019,June,90436
2019,July,97237
2019,August,102717
2019,September,97269
2019,October,122802
2019,November,143166
2019,December,150734
