X,Y,Width,Height
0.75,0,0.04166666666666674,32785.0
1.75,0,0.04166666666666652,58580.0
2.75,0,0.04166666666666696,102057.0
0.7916666666666666,0,0.04166666666666674,31113.0
1.7916666666666667,0,0.04166666666666652,65679.0
2.7916666666666665,0,0.04166666666666696,105968.0
0.8333333333333333,0,0.04166666666666674,29369.0
1.8333333333333335,0,0.04166666666666652,62694.0
2.833333333333333,0,0.04166666666666696,91214.0
0.875,0,0.04166666666666674,30879.0
1.875,0,0.04166666666666652,62351.0
2.875,0,0.04166666666666696,89368.0
-0.08333333333333333,0,0.04166666666666666,19432.0
0.9166666666666666,0,0.04166666666666674,34244.0
1.9166666666666667,0,0.04166666666666652,56563.0
2.9166666666666665,0,0.04166666666666696,91440.0
-0.04166666666666667,0,0.04166666666666666,21875.0
0.9583333333333333,0,0.04166666666666674,43578.0
1.9583333333333335,0,0.04166666666666652,70117.0
2.958333333333333,0,0.04166666666666696,90436.0
-1.734723475976807e-17,0,0.04166666666666666,24110.0
0.9999999999999999,0,0.04166666666666663,65807.0
2.0,0,0.04166666666666696,63591.0
3.0,0,0.04166666666666696,97237.0
0.041666666666666616,0,0.04166666666666666,31049.0
1.0416666666666667,0,0.04166666666666652,47712.0
2.0416666666666665,0,0.04166666666666696,62832.0
3.0416666666666665,0,0.04166666666666696,102717.0
0.0833333333333333,0,0.04166666666666666,41477.0
1.0833333333333333,0,0.04166666666666652,47377.0
2.083333333333333,0,0.04166666666666698,65942.0
3.083333333333333,0,0.04166666666666698,97269.0
0.12499999999999999,0,0.04166666666666667,27398.0
1.125,0,0.04166666666666653,47439.0
2.125,0,0.04166666666666698,111378.0
3.125,0,0.04166666666666698,122802.0
0.1666666666666666,0,0.041666666666666685,40449.0
1.1666666666666667,0,0.04166666666666652,57702.0
2.1666666666666665,0,0.04166666666666696,78688.0
3.1666666666666665,0,0.04166666666666696,143166.0
0.2083333333333333,0,0.041666666666666685,27832.0
1.2083333333333333,0,0.04166666666666652,48421.0
2.208333333333333,0,0.041666666666666935,80047.0
3.208333333333333,0,0.041666666666666935,150734.0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0,0.0,1.0,1.0
